제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
랜드로버,디펜더,4,8270,8675,9250,9750,10020,78125,2007,
랜드로버,디스커버리 3,4,820,865,945,1050,1140,228010,2006,13.1
현대,베르나 트랜스폼,4,256,310,345,375,420,105736,2010,26.5
아우디,S8,4,1470,1740,2020,2437,2955,162788,2013,11.9
아우디,SQ5,4,1865,1887,1945,1992,1996,125666,2015,22.2
아우디,S7,4,1554,1711,2024,2462,2844,120251,2013,17.1
기아,뉴카니발,4,262,267,270,335,452,142385,2008,13.0
현대,ST1,4,4226,4267,4390,4505,4532,21277,2025,66.0
현대,뉴 아반떼 XD,4,213,217,235,277,327,94484,2004,23.7
닛산,무라노,4,208,266,299,370,496,187173,2010,6.7
렉서스,뉴 ES350,4,1380,1425,1600,1837,1995,114381,2013,27.2
쉐보레(GM대우),말리부,4,292,310,354,416,466,133214,2012,
아우디,A1,4,805,814,869,937,969,112891,2015,24.5
닛산,리프 (ZE1),4,901,1054,1139,1177,1245,92823,2019,23.6
KG모빌리티(쌍용),더 뉴 티볼리 에어,4,1880,1925,1970,2030,2102,34443,2024,76.2
미니,에이스맨 1세대,4,3550,3550,3600,3687,3755,4905,2025,72.1
테슬라,사이버트럭,4,13613,13662,13770,13887,13954,14696,2024,
볼보,XC40 리차지,4,3574,3687,3750,4262,5185,23898,2023,63.8
페라리,488 스파이더,4,19960,21400,22300,23375,25130,41302,2018,59.1
포드,E-Series,4,1449,1597,1700,1927,2301,159242,2003,
포드,F250,4,1790,2105,2340,3950,6740,163666,2008,
페라리,SF90 스트라달레,4,41900,43250,46250,51350,56480,3297,2021,75.5
폭스바겐,투아렉,4,668,920,1329,1699,1879,185592,2006,10.8
롤스로이스,던,4,30700,32500,35200,39400,43900,24899,2019,80.3
사브,9000,4,622,671,949,1200,1200,204218,1996,
기아,쏘렌토,3,250,250,250,260,266,160617,2004,11.6
폭스바겐,골프 5세대,3,451,454,460,1680,2412,146943,2007,11.2
혼다,N-BOX,3,1484,1565,1700,1725,1740,111658,2015,
포드,익스페디션,3,3892,3895,3900,4575,4980,92688,2021,51.0
벤츠,GL-클래스 X166,3,2345,2459,2649,4889,6233,70573,2014,
KG모빌리티(쌍용),무쏘,3,738,780,850,875,890,236000,1997,27.5
