제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
벤츠,GLS-클래스 X167,168,7197,8187,10635,16236,22649,42150,2022,67.2
기아,스팅어 마이스터,166,2240,2452,2769,3149,3670,71397,2021,62.8
기아,더 뉴 모닝 (JA),166,1331,1490,1620,1750,1887,9305,2025,99.0
볼보,S90,165,2308,3030,3750,4800,5900,47432,2022,54.2
현대,싼타페 CM,161,280,330,425,480,550,163988,2011,14.7
KG모빌리티(쌍용),렉스턴 W,159,380,460,550,680,792,148426,2014,17.3
포드,익스플로러,157,850,1100,1400,1650,1843,103873,2017,24.5
지프,레니게이드,155,798,969,1250,1660,2246,73845,2019,34.5
현대,아이오닉6,154,2243,2755,3199,3440,3750,59868,2023,50.8
랜드로버,레인지로버 4세대,151,2699,3349,4200,5895,7790,118057,2016,23.9
현대,그랜저 HG 하이브리드,147,515,594,730,890,990,166010,2015,20.9
볼보,XC90 2세대,147,2574,3150,4700,6280,7619,86522,2021,50.0
현대,맥스크루즈,146,754,850,985,1099,1200,150044,2014,26.0
BMW,7시리즈 (G70),145,9400,10414,11500,12780,13848,21500,2024,70.2
현대,더 뉴 코나,143,1480,1635,1850,2270,2650,55416,2022,75.0
아우디,Q7 (4M),137,2562,3140,5150,6580,7866,73349,2021,52.1
폭스바겐,골프 7세대,134,730,850,970,1090,1341,120504,2015,28.2
랜드로버,디스커버리 5,131,2050,2480,2890,4894,6800,92626,2019,35.7
기아,더 뉴 K5 하이브리드 3세대,130,2393,2790,2940,3147,3314,23647,2024,78.6
포르쉐,마칸,130,2547,3019,3989,7635,9200,81904,2018,51.5
BMW,1시리즈 (F40),128,2021,2250,2555,2895,3262,42373,2022,55.3
기아,더 뉴 K8 하이브리드,125,2840,3480,4000,4360,4595,15711,2025,81.1
BMW,4시리즈 (F32),124,1115,1350,1720,2092,2496,107024,2017,27.1
현대,아슬란,124,506,610,740,892,1038,146827,2015,18.9
현대,쏘나타 하이브리드,122,350,399,487,593,650,140385,2013,15.7
현대,아반떼 하이브리드 (CN7),121,1390,1550,1720,1900,2100,76274,2022,65.6
기아,뉴모닝,119,170,190,220,257,290,107046,2010,25.4
볼보,XC40,119,2190,2694,3130,3925,4320,39064,2021,62.4
미니,쿠퍼 S 컨트리맨,118,2296,2750,3100,3399,3615,40811,2023,53.2
테슬라,모델 3,115,2390,2650,3100,3885,4850,73267,2021,55.7
포르쉐,911 (992),114,13880,15549,18500,22775,29850,17867,2023,92.8
기아,올 뉴 프라이드,114,350,390,449,490,570,105411,2013,30.1
르노코리아(삼성),뉴SM5(신형),113,180,210,250,290,350,132002,2011,10.4
기아,쏘울,112,290,340,399,470,520,118401,2011,24.3
아우디,Q5 (FY),112,3252,3690,4149,4592,5270,46528,2022,59.2
기아,더 뉴 K8,111,2700,3199,3630,3923,4205,12694,2025,84.5
현대,i30 (PD),110,877,970,1150,1307,1481,96033,2018,51.2
폭스바겐,아테온,110,1790,1999,2594,3145,3404,61276,2020,46.0
아우디,A4 (B9),109,1815,2000,2499,2930,3342,47794,2021,45.7
벤츠,C-클래스 W206,108,3887,4099,4390,4750,5192,28415,2023,66.1
기아,K9,108,499,590,700,832,953,167840,2013,11.5
현대,더 뉴 투싼 (NX4),108,2199,2577,2829,3057,3390,22631,2024,88.0
기아,디 올 뉴 니로 EV,108,2104,2516,2835,2910,2959,27556,2024,52.4
제네시스,GV80 쿠페,107,6326,6680,7099,7610,8240,21322,2024,83.9
기아,K7 프리미어 하이브리드,105,1813,1980,2150,2450,2690,101214,2020,54.9
랜드로버,레인지로버 스포츠 2세대,105,2062,2390,3390,4440,5626,101114,2017,26.1
르노코리아(삼성),아르카나,105,1938,2100,2299,2550,2710,15011,2025,81.4
BMW,X1 (F48),104,1750,2195,2685,2999,3280,60300,2021,50.2
벤츠,AMG GT,104,6024,6963,8800,10671,13085,39524,2022,60.0
벤츠,S-클래스 W221,104,562,750,920,1182,1494,152536,2009,6.1
벤츠,GLC-클래스 X254,103,6412,6920,7650,8539,9345,11081,2025,86.6
현대,넥쏘,102,1361,1492,1870,2150,2327,74445,2022,24.9
랜드로버,디스커버리 스포츠,100,845,950,1094,1290,1509,115180,2017,17.9
벤츠,CLA-클래스 C118,100,3137,3410,3880,4867,6590,29139,2023,65.4
기아,더 뉴 K9,99,650,814,950,1150,1396,162946,2015,17.6
아우디,뉴 A4,99,442,585,690,824,990,119804,2015,14.2
링컨,에비에이터 2세대,97,3179,3590,4230,5190,6096,62583,2021,48.2
현대,쏘나타 디 엣지 하이브리드(DN8),97,2429,2850,2990,3249,3430,32249,2024,81.2
BMW,3시리즈 GT (F34),97,890,1099,1650,2030,2504,110978,2018,27.3
BMW,5시리즈 GT (F07),96,630,765,949,1375,1740,162351,2014,14.4
현대,벨로스터,96,371,398,464,542,625,118398,2013,23.0
랜드로버,디스커버리 4,96,1215,1590,2035,2792,3085,140408,2015,24.9
BMW,1시리즈 (F20),96,604,945,1195,1430,1725,107822,2016,30.7
마세라티,르반떼,95,2528,2800,3799,4775,6710,77890,2019,28.1
랜드로버,디펜더 (L663),94,5750,6962,8106,9739,10613,30385,2023,71.7
기아,EV3,94,1661,2350,3494,3887,4084,14176,2025,67.9
현대,제네시스 쿠페,94,350,396,525,686,816,145186,2010,18.8
지프,체로키(KL),93,805,960,1390,1870,2140,81022,2020,28.4
미니,쿠퍼 클럽맨,93,630,1350,1690,2259,2969,61471,2020,43.6
폭스바겐,뉴 티구안,93,690,750,820,950,1222,123773,2015,20.8
랜드로버,레인지로버 벨라,92,2860,3479,6015,8007,8389,40849,2022,53.8
현대,LF 쏘나타 하이브리드,92,651,749,915,1035,1230,137120,2016,28.6
현대,더 뉴 투싼 하이브리드 (NX4),92,2981,3287,3500,3682,3944,15401,2025,91.1
현대,i30(신형),91,520,550,599,689,780,115132,2014,31.2
르노코리아(삼성),더 뉴 SM6,91,990,1175,1770,2090,2330,56003,2022,55.4
현대,i40 살룬,91,350,444,530,630,720,152528,2014,18.8
기아,K5 하이브리드,90,428,480,550,650,793,146699,2013,17.9
포르쉐,뉴 카이엔,90,1490,2162,2750,3425,3950,139613,2015,25.3
기아,올 뉴 K7 하이브리드,90,926,1192,1336,1614,1793,144476,2018,34.8
벤츠,GLA-클래스 X156,90,1163,1396,1599,1900,2050,87955,2018,32.4
벤츠,CLE-클래스 C236,89,5437,6850,7480,8266,9380,8355,2025,86.7
아우디,A7 (4K),88,3746,4147,4735,5262,6038,59623,2021,49.8
벤츠,EQB X243,88,3778,4461,5400,5900,6430,9335,2025,65.4
BMW,X5 (F15),88,1817,2165,2634,3312,3559,141573,2016,25.8
포르쉐,타이칸,88,9320,10967,13750,16153,19993,20442,2024,83.7
아우디,Q8 (4M),87,5382,5765,6670,7730,8540,62880,2021,60.1
아우디,A7,87,862,985,1320,1624,1908,131660,2015,15.1
기아,올 뉴 카렌스,87,400,499,599,710,821,146862,2014,28.1
기아,타스만,87,3498,3750,4250,4650,5074,7385,2026,91.3
기아,더 프레스티지 K7,86,335,389,430,499,585,146632,2012,13.6
포르쉐,파나메라,86,1715,2050,2465,3300,4024,118688,2013,17.7
랜드로버,레인지로버 이보크,84,1002,1099,1244,1564,1707,96502,2017,17.8
BMW,4시리즈 (G22),83,3574,4019,4650,5575,6616,33439,2023,70.0
랜드로버,레인지로버 이보크 2세대,83,2558,3494,4699,5175,5880,15089,2024,55.7
KG모빌리티(쌍용),액티언 2세대,83,2590,2690,2790,3014,3424,15073,2025,80.0
지프,그랜드 체로키,83,741,1150,1590,1950,2430,127747,2017,21.9
폭스바겐,티구안 2세대,82,1857,2062,2405,3587,4340,71901,2020,64.3
르노코리아(삼성),마스터,82,1654,1999,2750,3267,3599,52493,2020,61.1
KG모빌리티(쌍용),뉴 스타일 코란도 C,81,529,620,690,790,950,117116,2018,26.5
마세라티,기블리,81,1220,1420,1950,3090,4250,88442,2017,19.4
기아,포르테,80,248,288,336,370,429,97981,2011,20.7
KG모빌리티(쌍용),더 뉴 토레스,80,2157,2437,2667,2800,3100,16175,2025,79.7
폭스바겐,티구안 올스페이스,80,2480,2750,3180,3362,3654,40898,2023,59.8
미니,쿠퍼 D,78,347,490,650,796,983,112610,2015,19.0
기아,더 뉴 스포티지 5세대,78,2563,3050,3705,4565,5075,10114,2025,102.5
포르쉐,718 박스터,78,4546,5430,8325,10368,12560,41363,2021,71.1
현대,아이오닉 하이브리드,77,761,800,960,1130,1258,136560,2016,37.7
현대,쏠라티,76,2585,2965,4000,4750,5790,70833,2020,
포드,머스탱,76,1570,1899,2390,2984,3590,78089,2019,46.3
미니,쿠퍼 컨트리맨,75,1388,1769,3100,3789,4174,48898,2022,60.9
BMW,7시리즈 (F01),75,593,729,940,1250,1562,164537,2012,6.6
미니,쿠퍼 D 컨트리맨,74,460,505,640,980,1532,110000,2015,20.0
기아,더 뉴 기아 레이 EV,74,2099,2190,2280,2370,2464,24873,2024,77.4
아우디,A5 (F5),73,2302,2690,2999,3490,3849,49911,2021,49.0
벤츠,CLS-클래스 W218,72,1122,1330,1645,2182,2965,115700,2016,18.6
BMW,X6 (F16),71,1900,2225,2590,2940,3299,148023,2017,23.8
벤츠,GLA-클래스 H247,71,2665,2850,3250,3935,4370,48071,2021,54.9
기아,더 뉴 스포티지 5세대 하이브리드,70,2426,2947,3414,3942,4164,11050,2025,91.3
쉐보레(GM대우),올란도,68,344,415,499,581,673,138240,2015,20.9
벤츠,GLE-클래스 W166,68,2264,2586,2960,3692,4850,129925,2017,28.1
미니,쿠퍼 S 클럽맨,68,1183,2395,2650,3092,3293,46676,2022,47.2
르노코리아(삼성),뉴QM3,68,649,770,847,950,1023,85851,2018,34.5
현대,아반떼 HD,67,236,260,330,370,440,112000,2009,22.0
현대,캐스퍼 일렉트릭,67,1920,2525,2800,2940,3040,13829,2025,86.9
벤츠,G-클래스 W463b,67,15500,17499,19950,22500,24272,33041,2021,84.2
BMW,X3 (G45),67,4965,6825,7500,8090,8616,7819,2025,93.5
KG모빌리티(쌍용),더 뉴 티볼리,66,1530,1750,1840,1950,2020,18728,2024,78.5
KG모빌리티(쌍용),뉴체어맨 W,66,404,486,635,764,964,139403,2014,9.3
볼보,V60 크로스컨트리 2세대,66,2409,2690,3090,3780,4715,58721,2021,55.9
혼다,오딧세이,66,1047,1645,2230,2785,4290,89764,2018,42.0
벤츠,CLA-클래스 C117,65,1050,1180,1550,1850,2180,91956,2018,30.5
KG모빌리티(쌍용),렉스턴 뉴 아레나,65,3090,3220,3490,3890,4086,31815,2024,73.1
인피니티,Q50,65,484,590,740,1050,1290,140828,2016,16.9
아우디,A8 (D5),64,4499,5150,6039,7105,7900,78296,2021,40.4
KG모빌리티(쌍용),코란도 C,64,199,248,290,350,397,140229,2012,12.1
BMW,2시리즈 그란쿠페 (F44),64,2153,2365,2700,2950,3197,36233,2022,53.1
기아,니로 EV,64,1476,1614,1835,2250,2434,120566,2022,39.6
르노코리아(삼성),QM5 네오,63,300,350,430,545,650,140285,2014,16.3
현대,i40,63,350,450,599,685,828,142577,2013,20.1
르노코리아(삼성),All New SM7,62,241,288,330,383,449,138668,2012,10.1
현대,코나 일렉트릭,62,1490,1592,1750,2065,2284,123073,2019,36.3
벤츠,EQA H243,62,3400,3814,4950,5375,6200,9075,2025,66.2
현대,더 뉴 캐스퍼,62,1662,1904,2175,2287,2378,5817,2025,108.4
랜드로버,디스커버리 스포츠 2세대,62,2523,3057,4090,4799,5000,17720,2024,53.1
닛산,알티마,61,400,520,670,850,950,99124,2017,21.0
혼다,어코드 10세대,60,1463,1577,1980,2292,2632,84967,2019,48.7
르노코리아(삼성),클리오,59,639,699,780,850,958,86305,2018,34.3
렉서스,ES300h 7세대,59,3148,3494,3990,4894,5750,71535,2021,64.0
미니,쿠퍼 S 컨버터블,58,890,1572,2415,3087,3586,50298,2021,44.4
BMW,8시리즈 (G15),58,5709,6562,7820,8852,10028,42137,2023,55.1
기아,쏘울 부스터,58,1077,1192,1327,1496,1599,83389,2019,60.4
현대,더 뉴 아반떼 하이브리드 (CN7),58,1961,2335,2525,2665,2892,14389,2025,83.8
마세라티,콰트로포르테,58,1668,2220,2994,3809,5083,87168,2017,18.3
지프,랭글러 (JK),57,1250,1730,1959,2450,2684,106754,2016,43.4
기아,올 뉴 쏘울,57,505,590,680,779,908,120647,2015,37.1
현대,코나 하이브리드 (SX2),57,2296,2750,3029,3290,3469,17984,2025,90.6
아우디,뉴 A8,55,684,995,1399,1794,2179,160000,2013,9.8
기아,K7,55,290,364,409,475,542,147802,2011,12.3
르노코리아(삼성),뉴QM5,55,244,299,380,468,512,132234,2013,14.3
기아,뉴카렌스,54,269,296,379,437,487,141637,2010,19.6
현대,쏘나타 뉴 라이즈 하이브리드,54,806,933,1190,1445,1650,134725,2018,37.5
벤츠,G-클래스 W465,54,19090,20602,22915,25800,27500,5978,2025,110.0
벤츠,EQE V295,53,5110,5360,5690,6300,7498,35000,2023,55.5
랜드로버,레인지로버 5세대,52,15050,16870,20775,25000,27770,17405,2024,84.5
혼다,올뉴어코드,51,499,770,1050,1185,1299,115239,2016,20.1
기아,더 뉴 프라이드,50,449,529,590,670,790,101801,2016,39.1
폭스바겐,투아렉 3세대,50,3950,4885,6300,7942,10509,37263,2023,66.0
캐딜락,에스컬레이드 5세대,49,7630,8199,8980,11300,17039,45441,2023,65.3
제네시스,GV60,49,3397,3780,4400,4890,5608,77862,2022,67.8
벤츠,C-클래스 W204,48,493,572,680,920,1050,120800,2013,14.5
르노코리아(삼성),SM5 뉴 임프레션,48,188,220,250,290,330,109257,2009,10.4
지프,그랜드 체로키(WL),47,3518,3865,4320,5294,6087,41404,2022,51.4
폭스바겐,제타 7세대,47,1591,1900,2440,2910,3150,42061,2021,69.7
포르쉐,911,47,5839,7140,8900,11000,13836,81299,2015,53.2
람보르기니,우루스,46,27395,31824,36700,40450,46900,8697,2024,115.7
폭스바겐,뉴 CC,46,464,535,650,814,890,147288,2014,14.1
벤츠,스프린터,46,3094,3990,5974,8370,9550,60777,2019,
현대,더 뉴 제네시스 쿠페,46,547,854,990,1190,1645,142846,2013,32.6
지프,컴패스 2세대,45,1232,1390,1890,2290,2453,52630,2021,37.6
캐딜락,CT6,45,1323,1650,2079,2600,3038,102428,2018,24.1
폭스바겐,더 뉴 파사트,45,449,540,670,850,1072,112700,2015,18.9
기아,오피러스 프리미엄,45,244,320,370,469,511,133623,2010,10.0
볼보,S60 3세대,45,2290,2440,2960,3390,4289,52358,2021,56.8
르노코리아(삼성),SM7 New Art,45,190,210,250,315,395,136474,2010,8.8
기아,K5 하이브리드 2세대,44,709,833,950,1188,1343,148734,2017,32.0
BMW,2시리즈 액티브 투어러 (F45),44,850,1020,1265,1522,1786,88249,2018,28.8
포르쉐,파나메라 (976),44,15628,17350,18785,21100,25780,8300,2025,98.0
BMW,X3 (F25),43,615,840,1090,1550,1866,142331,2014,18.0
도요타,시에나 4세대,43,4250,4445,4850,5420,5950,51683,2023,73.9
BMW,6시리즈 (F12),43,1064,1330,1730,2274,2829,131401,2015,15.6
BMW,Z4 (G29),43,3556,3994,4950,5874,6672,36391,2022,64.8
아우디,A3 (8Y),43,2510,2690,2870,3085,3200,17928,2023,63.5
BMW,X1 (U11),42,3905,4225,4675,5475,5684,18803,2025,73.1
아우디,e-트론,42,4009,4282,4674,4990,6309,79176,2021,41.3
재규어,F-PACE,42,1200,1330,1449,1799,2234,121101,2018,21.9
아우디,Q5,42,794,967,1215,1396,1497,146764,2015,17.1
재규어,XF (X260),41,699,850,970,1130,1570,117519,2017,14.3
현대,더 뉴 코나 하이브리드,41,1440,1710,1890,2150,2480,87344,2022,67.3
미니,쿠퍼 S 컨트리맨 3세대,41,2352,2352,3750,4006,5270,7657,2025,67.7
혼다,CR-V 5세대,41,1980,2100,2380,3050,3580,67315,2019,61.4
캐딜락,에스컬레이드,41,1350,2799,3450,3850,4360,103949,2017,24.2
벤츠,EQS V297,40,6443,6700,7675,8651,10250,59267,2022,45.3
현대,아이오닉 일렉트릭,40,777,970,1090,1280,1370,122749,2018,24.8
기아,니로 플러스,40,1289,1568,1894,2367,2599,68119,2023,40.1
재규어,XE,39,658,700,790,935,991,97376,2016,16.0
현대,코나 하이브리드,39,1508,1645,1760,1927,1991,82112,2020,67.6
쉐보레,익스프레스밴,39,954,1595,2250,2935,3538,86697,2014,
볼보,S60,39,397,540,850,950,1078,128100,2016,17.3
기아,EV9,39,4495,5435,5850,6350,6530,55400,2024,72.2
제네시스,일렉트리파이드 G80 (RG3),39,4339,4910,5790,6305,7326,59659,2022,67.6
BMW,3시리즈 (E90),38,378,492,593,850,1170,117414,2010,11.1
현대,더 뉴 아이오닉 하이브리드,38,939,1252,1425,1571,1674,135082,2020,52.3
미니,쿠퍼 D 클럽맨,37,680,850,1099,1320,1733,94004,2018,28.0
아우디,뉴 A3,37,618,790,890,1040,1314,102621,2015,23.2
포드,F150,37,1940,2870,3700,4999,7640,96756,2016,
푸조,2008,37,295,450,550,740,889,90919,2015,19.9
재규어,All New XJ,36,725,994,1350,1929,2824,127809,2014,10.6
BMW,i4,36,4375,4872,5195,5562,5983,39462,2024,64.3
지프,글래디에이터 (JT),36,4050,4294,4590,4922,6079,34085,2021,63.9
폭스바겐,골프 6세대,36,390,467,499,590,770,139031,2012,15.4
폭스바겐,파사트 GT(B8),36,1670,1827,2445,2682,2960,65402,2021,48.7
폭스바겐,골프 8세대,36,3270,3555,3685,3800,4005,14866,2024,81.1
아우디,A5,35,472,765,890,1105,1334,120250,2015,14.2
아우디,Q3 (F3),35,3412,3935,4490,5420,6370,32894,2023,86.4
현대,그랜저 뉴 럭셔리,35,248,280,350,385,442,113500,2009,11.4
랜드로버,레인지로버 스포츠 3세대,35,10831,12722,14590,15500,17432,14000,2025,85.0
기아,셀토스 2세대,34,2200,2543,2856,4089,4485,600,2026,99.7
벤츠,GLK-클래스 X204,34,708,942,1200,1367,1757,134352,2013,20.3
아우디,Q4 e-트론 (F4),34,3462,3660,4065,4737,4883,23380,2023,61.4
기아,더 뉴 EV6,34,2658,3569,4200,4474,4760,23007,2025,66.5
벤츠,EQE SUV X294,34,6815,7205,7740,8357,9535,18908,2023,64.5
기아,K7 하이브리드,34,519,580,685,886,934,166416,2015,19.3
기아,포르테 쿱,33,291,319,350,400,438,126481,2011,20.6
포드,브롱코 6세대,33,4892,5100,5550,5890,6530,30638,2023,74.1
BMW,X4 (F26),33,1454,1599,1870,2189,2486,113912,2016,26.5
폭스바겐,뉴 제타,33,320,449,579,670,798,142304,2015,16.9
벤틀리,플라잉스퍼 3세대,32,17720,19012,21000,23500,27620,33456,2022,67.7
기아,EV4,32,1579,2730,3850,4115,4288,1902,2026,69.5
KG모빌리티(쌍용),슈퍼 렉스턴,31,250,280,360,399,449,168329,2011,11.8
르노코리아(삼성),필랑트,31,2736,2784,4030,4880,5090,233,2027,79.4
현대,더 뉴 아이오닉5,31,3590,3869,4290,4571,4750,21771,2025,74.2
벤틀리,컨티넨탈 GT 3세대,31,15000,17099,19500,22350,28000,31446,2020,66.6
벤츠,EQS SUV X296,31,8600,9124,10465,11923,19900,32517,2023,64.9
테슬라,모델 X,31,5640,6489,7550,13100,16850,84710,2020,66.7
현대,더 뉴 i40,30,677,807,965,1147,1255,143342,2016,34.5
제네시스,일렉트리파이드 GV70,30,4224,4692,4934,5465,5741,64124,2022,65.6
BMW,i5 (G60),30,5577,6745,7125,7942,9100,19947,2025,68.2
도요타,RAV4 5세대,30,2786,3315,3995,4250,4464,32248,2023,84.2
현대,코나 일렉트릭 (SX2),30,2486,2735,2884,3053,3352,52771,2023,59.4
벤틀리,벤테이가,30,10750,13250,20325,26675,35550,39350,2022,63.6
렉서스,NX350h 2세대,30,4870,5190,5499,5835,6236,25370,2024,79.6
벤츠,E-클래스 W211,30,422,580,724,947,1311,139495,2007,9.1
푸조,3008 2세대,30,1326,1435,1665,2409,2658,77020,2020,43.5
혼다,파일럿 3세대,30,1387,1495,2290,3010,3364,93922,2018,40.5
볼보,V90 크로스컨트리,29,2083,2390,2800,3720,5800,94041,2019,44.6
페라리,로마,29,25500,27000,30000,38121,42720,6086,2023,89.4
푸조,5008 2세대,29,1416,1499,2290,2820,2958,80250,2021,44.9
BMW,X1 (E84),28,399,522,590,684,771,150546,2012,11.6
닷지,램픽업,28,2950,3449,5695,6775,9873,86478,2019,
현대,아이오닉9,28,5926,6354,6791,7286,7514,11773,2025,86.3
르노코리아(삼성),SM3 Z.E.,28,384,445,614,799,905,91711,2017,15.4
BMW,X2 (F39),28,2078,2400,2805,3212,3408,48214,2022,47.7
현대,더 뉴 벨로스터,27,586,610,695,765,814,104235,2016,31.9
제네시스,더 뉴 G70 슈팅브레이크,27,2601,2785,3250,3620,3994,38439,2023,73.4
미니,쿠퍼 S 4세대,27,3310,3535,3650,3792,4000,5634,2025,75.0
르노코리아(삼성),캡처,26,1185,1292,1470,1557,1660,50585,2020,52.0
현대,i30,26,335,370,399,437,455,96600,2010,24.0
기아,New 스포티지,26,210,282,330,396,474,137779,2009,16.8
재규어,New XF,26,299,400,490,723,785,144410,2013,8.2
아우디,SQ5 (FY),26,3724,4185,4870,5687,6045,57027,2021,52.7
벤츠,B-클래스 W246,26,450,560,724,1183,1560,105383,2014,20.6
벤츠,A-클래스 W176,26,790,1005,1350,1874,2319,101738,2017,28.7
쉐보레(GM대우),뉴 라보,26,555,590,620,677,820,75354,2017,73.7
링컨,코세어,25,2116,2350,2590,2870,3038,64542,2021,44.0
아우디,Q5 (80A),25,5823,7890,8400,8600,8814,35,2025,100.1
렉서스,뉴 ES300h,24,1595,1860,2355,2650,2760,88888,2017,39.3
현대,더 뉴 스타리아,24,2889,3418,3805,4762,5000,1000,2026,102.0
포르쉐,마칸 EV,24,10489,10987,11680,12792,13252,11872,2025,97.9
링컨,뉴 MKZ,24,592,650,974,1611,1832,97307,2017,24.8
BMW,M4 (F82),23,3571,4394,4950,6075,6660,74166,2018,42.2
미니,쿠퍼 SD 컨트리맨,23,520,594,899,2699,2840,105259,2016,29.1
BMW,5시리즈 (E60),23,259,425,495,615,816,130867,2008,7.9
아우디,Q7,23,699,794,990,1250,1348,182220,2013,10.7
BMW,X5 (E70),23,550,599,799,1055,1198,201269,2010,9.6
롤스로이스,고스트 2세대,23,33220,36950,42000,47700,52360,13500,2022,81.8
르노코리아(삼성),QM5,23,221,244,280,310,344,156953,2011,10.2
BMW,i7 (G70),23,11013,11325,12300,13300,15260,31110,2024,61.0
KG모빌리티(쌍용),토레스 EVX,23,2862,2950,3040,3290,3440,42682,2024,64.2
벤츠,G-클래스 W463,22,5039,6560,7315,9450,16760,90070,2015,41.0
르노코리아(삼성),SM5,22,199,222,280,377,447,106508,2002,13.9
BMW,2시리즈 액티브 투어러 (U06),22,3160,3392,3490,3887,4194,7301,2025,73.0
링컨,컨티넨탈 10세대,21,1199,1350,1650,2090,2390,91871,2018,20.0
폭스바겐,더 비틀,21,579,810,940,1110,1270,121485,2013,25.7
포르쉐,박스터,21,2250,3000,3790,4950,5500,105272,2014,42.3
벤츠,CLS-클래스 W219,21,360,490,690,880,1000,123000,2009,6.7
벤츠,M-클래스 W166,21,1100,1350,1570,1890,2590,141168,2014,16.9
KG모빌리티(쌍용),무쏘 (Q300),21,3690,3790,4000,4250,4330,1108,2026,94.6
롤스로이스,고스트,21,12750,15000,17999,21000,24500,56842,2018,37.9
기아,PV5,21,3620,3690,3990,4599,4730,3328,2026,87.8
현대,에쿠스,20,250,350,410,557,787,120199,2006,7.5
BMW,X6 (E71),20,834,1032,1199,1297,1689,170188,2012,11.2
벤츠,뉴 SLK-클래스,20,688,835,1189,1800,2416,122594,2007,18.8
현대,그랜저 TG,20,190,226,244,292,357,137659,2007,10.5
아우디,A5 (B10),20,4584,5072,5450,6015,6309,3400,2025,86.0
볼보,S80,20,350,414,620,790,891,127849,2012,9.5
BMW,iX3,20,4586,5050,5285,5575,5891,36488,2024,64.8
링컨,노틸러스 1세대,20,1740,1962,2450,3137,3426,73971,2020,37.9
폴스타,폴스타 2,20,2651,2914,3325,3525,4064,56354,2023,60.3
르노코리아(삼성),트위지,19,169,195,250,287,299,6240,2019,
기아,더 뉴 K5 하이브리드 2세대,19,862,1065,1240,1450,1610,133932,2019,38.9
미니,쿠퍼 컨버터블,19,608,849,1289,1770,3009,100000,2019,35.4
기아,더 뉴 카렌스,19,598,730,870,914,1153,133095,2017,38.3
벤틀리,컨티넨탈 GT 2세대,19,4355,4624,5800,6935,7420,80854,2014,25.2
포드,레인저 3세대,19,2880,3215,3590,4044,4250,52896,2022,
KG모빌리티(쌍용),체어맨 W,19,194,230,299,435,491,153134,2010,5.6
도요타,캠리 (XV70),19,2102,2210,2530,2910,3562,85030,2019,67.8
롤스로이스,컬리넌,19,36999,40450,45800,53450,59580,14000,2023,86.2
렉서스,NX300h,19,2489,2645,2790,3600,4122,81887,2018,50.6
BMW,M2 (G87),18,6989,7324,8375,8847,9689,12142,2024,90.9
기아,EV5,18,1654,1942,3364,4750,5434,3163,2026,67.6
링컨,네비게이터 4세대,18,4488,4715,5660,7314,8453,63975,2020,56.9
현대,테라칸,18,330,380,510,650,890,199815,2004,20.5
링컨,MKC,18,744,900,1069,1415,1708,96156,2017,
폭스바겐,ID.4,18,2822,3037,3420,3870,3929,33343,2023,58.9
현대,NF 쏘나타 트랜스폼,18,197,220,249,273,368,169768,2009,13.9
기아,그랜드 카니발,18,284,327,400,445,566,158060,2009,14.9
인피니티,QX60,17,756,850,1290,1649,1786,106785,2017,20.1
테슬라,모델 S,17,3722,4000,4750,11290,13340,94327,2020,53.5
렉서스,UX250h,17,2590,2900,3250,3650,3818,57292,2021,66.5
도요타,뉴 캠리,17,950,1150,1230,1450,1601,93585,2016,34.1
기아,쏘울 EV,16,735,797,900,1110,1145,61856,2018,20.8
현대,더 뉴 i40 살룬,16,567,674,778,804,890,118521,2016,26.8
BMW,X4M (G02),16,5120,5930,7440,8837,9635,42897,2022,58.6
현대,갤로퍼 2,16,422,489,555,707,790,202529,1999,36.4
포르쉐,카이엔,16,690,786,1040,1697,2295,152341,2008,9.5
벤츠,GLS-클래스 X166,16,2850,3010,3265,3559,3974,139479,2017,24.1
BMW,X2 (U10),16,4322,4650,4945,5675,6125,6437,2025,70.9
아우디,Q3,16,985,1030,1210,1370,1600,119602,2015,23.0
현대,더 뉴 i30,16,509,545,692,731,769,133762,2016,32.2
인피니티,Q70,16,720,871,1042,1237,1395,116630,2017,18.1
캐딜락,XT5,16,1560,1757,2065,2772,3350,80069,2019,31.8
람보르기니,우라칸,16,18500,21375,32250,38202,43500,12929,2021,82.6
인피니티,Q30,15,1066,1220,1300,1450,1502,62749,2018,33.6
재규어,E-PACE,15,1346,1444,1540,1720,1774,83000,2018,27.1
BMW,2시리즈 그란쿠페 (F74),15,3670,3725,3800,3990,4350,4406,2025,69.3
쉐보레(GM대우),볼트 EV,15,1181,1274,1550,1670,1796,117149,2019,31.1
BMW,M4 (G82),15,9460,10950,13490,14977,17620,17000,2024,85.7
포드,뉴 토러스,15,311,394,490,624,790,131316,2014,11.5
폭스바겐,뉴 투아렉,15,850,985,1220,1475,1716,165418,2014,15.5
폭스바겐,페이톤,15,394,530,740,915,1533,178367,2011,8.0
도요타,알파드 4세대,15,9006,9320,10790,11250,11974,14624,2024,104.7
현대,더 럭셔리 그랜저,15,254,320,329,385,453,149500,2010,12.0
KG모빌리티(쌍용),무쏘 스포츠 칸 (Q250),15,3062,3189,3330,3574,3638,9113,2025,88.0
포르쉐,718 카이맨,15,5056,5495,5990,7400,13879,58970,2019,71.6
포드,머스탱 7세대,15,4696,5136,5355,6375,6790,17003,2024,78.3
닛산,쥬크,14,555,607,665,715,841,93273,2015,23.5
